CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
08.706.065/0001-69;2025-03-31;1;Ibis São Paulo Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;6862.5;227;28/03/2025;0.072245;Renda
08.706.065/0001-69;2025-03-31;1;Novotel Morumbi;Rua Ministro Nelson Hungria, 577, Morumbi, São Paulo/SP, Brasil, 05690-050;2005.37;2;28/03/2025;0.01384;Renda
08.706.065/0001-69;2025-03-31;1;Ibis Budget Morumbi;Avenida Roque Petroni Junior, 800, Sem Complemento, Jardim Das Acacias, Sao Paulo/SP, Brasil, 04707-000;1491.2;31;28/03/2025;0.077402;Renda
13.320.290/0001-00;2025-03-31;1;MAT 6273 - FAZENDA PAU DE COLHER;Rodovia Ba.324 - Km.20, S/n, Zona Rural, Ourolândia, Ourolândia/BA, Brasil, 44718-000;3870443.1;1;Direito de Propriedade;0;Renda
18.259.637/0001-62;2025-03-31;1;Condominio Edificio Summit Pinheiros;Rua Eugenio De Medeiros, 288, Sem Complemento, Pinheiros, São Paulo/SP, Brasil, 05425-000;1774.51;23;Direito de propriedade;0.41304757156934;Renda
18.259.637/0001-62;2025-03-31;1;Centro Empresarial Mario Garnero;Avenida Brigadeiro Faria Lima, 1485, 8º Andar - Torre Sul, Pinheiros, São Paulo/SP, Brasil, 05426-100;1251.44;5;Direito de propriedade;0.35103359274276;Renda
18.950.957/0001-64;2025-03-31;1;URUGUAIA;Av. Ministro Assis Brasil, 1053 - Joquei Clube, Uruguaiana - RS;22500;1;Nenhuma característica relevante;0.002727;Renda
28.548.288/0001-52;2025-03-31;1;DRS_ARACAJU - GRUPO MATHEUS;Av. João Rodrigues, 592 - Industrial - Aracaju/SE;31524;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_ANANINDEUA- GRUPO MATHEUS;Av. Cláudio Saunders, Coqueiro, Ananindeua/PA;7601.92;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_CARUARU - GRUPO MATHEUS;Av. Portugal - Bairro Universitário - Caruaru/PE;32604;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_GUARABIRA - GRUPO MATHEUS;Rua Otacílio Lira Cabral, 1300 - Guarabira/PB;56898.85;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_LEAO DOURADO - GRUPO MATHE;Av. Leão Dourado - Bairro Kennedy - Caruaru/PE;32391.18;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_MARANHAO- GRUPO MATHEUS;BR-135, km-190, s/n, São Mateus do Maranhão/MA;3734;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_MARITUBA- GRUPO MATHEUS;Rodovia BR-316, KM 25, S/N, Bairro Parque Verde, Marituba -PA;10291.95;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_PATOS - GRUPO MATHEUS;Rua Lima Campos, 156 - São Sebastião - Patos/PB;36000;1;n/a;0;Renda
28.548.288/0001-52;2025-03-31;1;DRS_RUSSAS- GRUPO MATHEUS;356, 208 - Vila Ramalho, Russas - CE, 62900-000;8149.08;1;n/a;0;Renda
28.737.771/0001-85;2025-03-31;1;Assai - Bangu RJ;Avenida Brasil, 33809, Sem Complemento, Bangu, Rio De Janeiro/RJ, Brasil, 21852-002;34520;1;Direito de propriedade;0.04435068612234;Renda
28.757.546/0001-00;2025-03-31;1;Carioca Shopping;Avenida Vicente De Carvalho, 909, Sem Complemento, Vila Da Penha, Rio De Janeiro/RJ, Brasil, 21210-623;0;1;Não possuem características que destoem dos demais;0.01833149785542;Renda
28.757.546/0001-00;2025-03-31;1;Shopping Tijuca;Avenida Maracana, 987, Sem Complemento, Tijuca, Rio De Janeiro/RJ, Brasil, 20511-000;0;1;Não possuem características que destoem dos demais;0.02215252974217;Renda
28.757.546/0001-00;2025-03-31;1;Shopping Patio Higienopolis;Avenida Higienopolis, 618, Sem Complemento, Higienópolis, São Paulo/SP, Brasil, 01238-001;109253.95;1;Não possuem características que destoem dos demais;0.03051060706221;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Gold Center;Rua Arizona, 1.426;153.25;1;Conjunto 91, localizado no 9º andar, com área privativa de 153,25m², objeto da Matrícula 126.388 do 15º Registro de Imóveis. Incluidas 4 vagas indeterminadas de garagem, objeto das matrículas: 126.404, 126.405, 126.406 e 126.407  do 15º registro de imóveis.;0.00621260104599889;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Gold Center;Rua Arizona, 1.426;153.25;1;Conjunto 92, localizado no 9º andar, com área privativa de 153,25m², objeto da Matrícula 126.389 do 15º Registro de Imóveis. Incluidas 4 vagas indeterminadas de garagem, objeto das matrículas: 126.408, 126.409, 126.410 e 126.411  do 15º registro de imóveis.;0.00621260104599889;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Gold Center;Rua Arizona, 1.426;152.92;1;Conjunto 101, localizado no 10º andar, com área privativa de 152,92m², objeto da Matrícula 126.390 do 15º Registro de Imóveis. Incluidas 4 vagas indeterminadas de garagem, objeto das matrículas: 126.412, 126.413, 126.414 e 126.415  do 15º registro de imóveis.;0.00638155327591598;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Gold Center;Rua Arizona, 1.426;158.49;1;Conjunto 102, localizado no 10º andar, com área privativa de 158,492m², objeto da Matrícula 126.391 do 15º Registro de Imóveis. Incluidas 4 vagas indeterminadas de garagem, objeto das matrículas: 126.416, 126.417, 126.418 e 126.419  do 15º registro de imóveis.;0.00661399671354836;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Palladio;Rua Fidêncio Ramos, 223;110.89;1;Conjunto 114, localizado no 11º andar, com área privativa de 110,89m², incluidas 3 vagas indeterminadas de garagem, objetos da matrícula: 150.678  do 4º registro de imóveis.;0.00543699466983347;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Ronaldo Sampaio Ferreira;Praça João Duran Alonso, 34;380.785;1;Conjunto 41, localizado no 4º andar ou 9º pavimento, com área privativa de 380,785m². Incluidas 15 vagas indeterminadas de garagem (cuja área comum de garagem é 126,00m²). Objetos da matrícula: 194.673  do 15º registro de imóveis.;0.0186150178379619;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Arandu;Rua Arizona, 1366;253.65;1;Escritório 112, localizado no 11º andar, com área privativa de 253,65m². Incluidas 5 vagas indeterminadas de garagem (cuja área comum de garagem é 91,75m²). Objetos da matrícula: 120.969  do 15º registro de imóveis.;0.00846811921128442;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasilinterpart;Avenida das Nações Unidas, 11.633;266.34;1;Conjunto 111, localizado no 11º andar ou 15º pavimento, com área útil de 266,34m², incluidas 5 vagas indeterminadas de garagem, objetos da matrícula 120.649 do 15º registro de imóveis.;0.00984446580488691;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasilinterpart;Avenida das Nações Unidas, 11.633;177.95;1;Conjunto 112, localizado no 11º andar ou 15º pavimento, com área útil de 177,95m², incluidas 3 vagas indeterminadas de garagem, objetos da matrícula 120.650 do 15º registro de imóveis.;0.00678956635639945;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Luxor Center;Rua Arizona, 1.349;141;1;Escritório 10,  tipo "B"  localizado no 10º pavimento, com área privativa de 141m², incluidas 3 vagas indeterminadas de garagem, objetos da matrícula 149.037 do 15º registro de imóveis.;0.0058841159560659;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasílio Machado;Rua Dr. Cardoso de Mello, 1855;384.81;1;Conjunto 11, localizado no 1º andar, com área privativa de 384,81m², objeto da matrícula: 52.069 do 4º registro de imóveis. Incluidas 7 vagas indeterminadas de garagem, objetos de matrículas distintas do 4º registro de imóveis.;0.00627472260973118;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasílio Machado;Rua Dr. Cardoso de Mello, 1855;384.81;1;Conjunto 12, localizado no 1º andar, com área privativa de 384,81m², objeto da matrícula: 52.070 do 4º registro de imóveis. Incluidas 7 vagas indeterminadas de garagem, objetos de matrículas distintas do 4º registro de imóveis.;0.00627472260973118;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasílio Machado;Rua Dr. Cardoso de Mello, 1855;384.81;1;Conjunto 51, localizado no 5º andar, com área privativa de 384,81m², objeto da matrícula: 52.077 do 4º registro de imóveis. Incluidas 7 vagas indeterminadas de garagem, objetos de matrículas distintas do 4º registro de imóveis.;0.00586401551163703;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasílio Machado;Rua Dr. Cardoso de Mello, 1855;384.81;1;Conjunto 52, localizado no 5º andar, com área privativa de 384,81m², objeto da matrícula: 52.078 do 4º registro de imóveis. Incluidas 7 vagas indeterminadas de garagem, objetos de matrículas distintas do 4º registro de imóveis.;0.00586401551163703;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasílio Machado;Rua Dr. Cardoso de Mello, 1855;384.81;1;Conjunto 61, localizado no 6º andar, com área privativa de 384,81m², objeto da matrícula: 52.079 do 4º registro de imóveis. Incluidas 7 vagas indeterminadas de garagem, objetos de matrículas distintas do 4º registro de imóveis.;0.00586401551163703;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasílio Machado;Rua Dr. Cardoso de Mello, 1855;384.81;1;Conjunto 62, localizado no 6º andar, com área privativa de 384,81m², objeto da matrícula: 52.080 do 4º registro de imóveis. Incluidas 7 vagas indeterminadas de garagem, objetos de matrículas distintas do 4º registro de imóveis.;0.00586401551163703;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasílio Machado;Rua Dr. Cardoso de Mello, 1855;384.81;1;Conjunto 91, localizado no 9º andar, com área privativa de 384,81m², objeto da matrícula: 52.085 do 4º registro de imóveis. Incluidas 7 vagas indeterminadas de garagem, objetos de matrículas distintas do 4º registro de imóveis.;0.00586401551163703;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasílio Machado;Rua Dr. Cardoso de Mello, 1855;384.81;1;Conjunto 101, localizado no 10º andar, com área privativa de 384,81m², objeto da matrícula: 52.087 do 4º registro de imóveis. Incluidas 7 vagas indeterminadas de garagem, objetos de matrículas distintas do 4º registro de imóveis.;0.00586401551163703;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasílio Machado;Rua Dr. Cardoso de Mello, 1855;384.81;1;Conjunto 102, localizado no 10º andar, com área privativa de 384,81m², objeto da matrícula: 52.088 do 4º registro de imóveis. Incluidas 7 vagas indeterminadas de garagem, objetos de matrículas distintas do 4º registro de imóveis.;0.00586401551163703;Renda
30.567.216/0001-02;2025-03-31;1;Ed. Brasílio Machado;Rua Dr. Cardoso de Mello, 1855;384.81;1;Conjunto 111, localizado no 11º andar, com área privativa de 384,81m², objeto da matrícula: 52.089 do 4º registro de imóveis. Incluidas 7 vagas indeterminadas de garagem, objetos de matrículas distintas do 4º registro de imóveis.;0.00586401551163703;Renda
