CNPJ_Fundo_Classe,Data_Referencia,Versao,Classe,Nome_Endereco_Imovel,Justificativa_Evolucao_Inferior_Previsto,Justificativa_Custo_Superior_Previsto,CNPJ_Fundo
12.989.974/0001-29,2021-03-31,2,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.,
12.989.974/0001-29,2021-03-31,2,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.,
12.989.974/0001-29,2021-06-30,1,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.,
12.989.974/0001-29,2021-06-30,1,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.,
12.989.974/0001-29,2021-06-30,1,Imóveis para renda em construção,Pátio da Marítima Torre II,O início da construção pelo incorporador depende de condições mercadológicas ,O FII PM não arca com custo de construção.,
12.989.974/0001-29,2021-09-30,1,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.,
12.989.974/0001-29,2021-09-30,1,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.,
12.989.974/0001-29,2021-09-30,1,Imóveis para renda em construção,Pátio da Marítima Torre II,O início da construção pelo incorporador depende de condições mercadológicas ,O FII PM não arca com custo de construção.,
12.989.974/0001-29,2021-12-31,2,Imóveis para renda em construção,Porto Vista,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.,
12.989.974/0001-29,2021-12-31,2,Imóveis para renda em construção,Pátio da Marítima Torre II,O início da construção pelo incorporador depende de condições mercadológicas ,O FII PM não arca com custo de construção.,
12.989.974/0001-29,2021-12-31,2,Imóveis para venda em construção,Porto Vida Residencial,A obra encontra-se paralisada e o cronograma sob revisão.,O FII PM não arca com custo de construção.,
13.320.290/0001-00,2021-03-31,1,Imóveis para renda em construção,"R. Leopoldo C AP 311, Sao Paulo-SP",,,
13.320.290/0001-00,2021-03-31,1,Imóveis para renda em construção,"R. Leopoldo C AP 321, Sao Paulo-SP",,,
13.320.290/0001-00,2021-06-30,1,Imóveis para renda em construção,"R. Leopoldo C AP 321, Sao Paulo-SP",,,
13.320.290/0001-00,2021-06-30,1,Imóveis para renda em construção,"R. Leopoldo C AP 311, Sao Paulo-SP",,,
13.320.290/0001-00,2021-09-30,1,Imóveis para renda em construção,"R. Leopoldo C AP 321, Sao Paulo-SP",,,
13.320.290/0001-00,2021-09-30,1,Imóveis para renda em construção,"R. Leopoldo C AP 311, Sao Paulo-SP",,,
13.320.290/0001-00,2021-12-31,1,Imóveis para renda em construção,"R. Leopoldo C AP 321, Sao Paulo-SP",,,
13.320.290/0001-00,2021-12-31,1,Imóveis para renda em construção,"R. Leopoldo C AP 311, Sao Paulo-SP",,,
13.584.584/0001-31,2021-03-31,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica,
13.584.584/0001-31,2021-06-30,1,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica,
13.584.584/0001-31,2021-09-30,3,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica,
13.584.584/0001-31,2021-12-31,2,Imóveis para renda em construção,Não se aplica,Não se aplica,Não se aplica,
13.703.596/0001-38,2021-03-31,1,Imóveis para renda em construção,Não possui informação apresentada.,,,
13.703.596/0001-38,2021-06-30,1,Imóveis para renda em construção,Não possui informação apresentada.,,,
13.703.596/0001-38,2021-09-30,1,Imóveis para renda em construção,Não possui informação apresentada.,,,
13.703.596/0001-38,2021-12-31,1,Imóveis para renda em construção,Não possui informação apresentada.,,,
13.726.079/0001-84,2021-03-31,1,Imóveis para renda em construção,BELMIRA MARIM,Em análise,Não se aplica,
13.726.079/0001-84,2021-06-30,1,Imóveis para renda em construção,BELMIRA MARIM,Em análise,Não se aplica,
13.726.079/0001-84,2021-09-30,1,Imóveis para renda em construção,BELMIRA MARIM,Em análise,Não se aplica,
13.726.079/0001-84,2021-12-31,2,Imóveis para renda em construção,BELMIRA MARIM,Em análise,Não se aplica,
14.609.653/0001-87,2021-03-31,1,Imóveis para renda em construção,JHSF Aeroporto,,,
14.609.653/0001-87,2021-06-30,1,Imóveis para renda em construção,JHSF Aeroporto,,,
14.609.653/0001-87,2021-09-30,1,Imóveis para renda em construção,JHSF Aeroporto,,,
14.609.653/0001-87,2021-12-31,1,Imóveis para renda em construção,JHSF Aeroporto,,,
15.461.076/0001-91,2021-03-31,1,Imóveis para renda em construção,64 Unidades Standard no Hotel,,,
15.461.076/0001-91,2021-03-31,1,Imóveis para renda em construção,3 Centros de Convenções no Hotel,,,
15.461.076/0001-91,2021-03-31,1,Imóveis para renda em construção,34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,,,
