CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Area,Outras_Caracteristicas_Relevantes,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 11 - LOTE 17 -JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,1632.0,QUADRA 11 - LOTE 18 - JD. DAS MACAUBAS,0.0518642341081794,0.0317840249392298,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,462.4,QUADRA 11 - LOTE 2 - JD. DAS MACAUBAS,0.0146948663306508,0.0090054737327817,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,462.4,QUADRA 11 - LOTE 3 - JD. DAS MACAUBAS,0.0146948663306508,0.0090054737327817,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,462.4,QUADRA 11 - LOTE 4 - JD. DAS MACAUBAS,0.0146948663306508,0.0090054737327817,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 11 - LOTE 5 -JD. DAS MACAUBAS,0.0145245279147073,0.0089010850234225,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 11 - LOTE 6 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 11 - LOTE 7 -JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 11 - LOTE 8 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 11 - LOTE 9 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,622.7,QUADRA 12 - LOTE 10 - JD. DAS MACAUBAS,0.0197891290313501,0.0121273972608201,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,423.68,QUADRA 12 - LOTE 14 - JD. DAS MACAUBAS,0.0134643619527901,0.0082513821606941,
17.198.404/0001-34,2021-06-30,1,R. Maria Madalena da Silva Moreira,408.0,QUADRA 12 - LOTE 18 - JD. DAS MACAUBAS,0.0129660585270449,0.0079460062348074,
