CNPJ_Fundo_Classe,Data_Referencia,Versao,Endereco,Outras_Caracteristicas_Relevantes,Area,Percentual_Terreno_Total_Investido,Percentual_Terreno_PL,CNPJ_Fundo
04.782.236/0001-88,2023-03-31,2,"R. D. Francisca, 8300 - Dist. Indl. Joinville - SC",,89756.04,0.096795,0.0,
04.782.236/0001-88,2023-03-31,2,"Av. Santos Dumont,  - Joinville - SC",,1350.0,0.00726,0.0,
04.782.236/0001-88,2023-06-30,1,"R. D. Francisca, 8300 - Dist. Indl. Joinville - SC",,656524.11,0.137714,0.0,
04.782.236/0001-88,2023-06-30,1,"Av. Santos Dumont, nº 0 - Joinville - SC",,65041.8,0.279631,0.0,
04.782.236/0001-88,2023-06-30,1,"R. D. Francisca, nº 0 - Dist. Indl. Joinville - SC",,410745.0,0.06453,0.0,
04.782.236/0001-88,2023-06-30,1,"Estrada da Ilha, s/n - Joinville - SC",,177948.25,0.387182,0.0,
04.782.236/0001-88,2023-06-30,1,"R. D. Francisca, 8300 - Dist. Indl. Joinville - SC",,21658.0,0.026888,0.0,
04.782.236/0001-88,2023-06-30,1,"R. D. Francisca, 8300 - Dist. Indl. Joinville - SC",,89756.04,0.096795,0.0,
04.782.236/0001-88,2023-06-30,1,"Av. Santos Dumont,  - Joinville - SC",,1350.0,0.00726,0.0,
04.782.236/0001-88,2023-09-30,1,"R. D. Francisca, 8300 - Dist. Indl. Joinville - SC",,656524.11,0.137714,0.0,
04.782.236/0001-88,2023-09-30,1,"Av. Santos Dumont, nº 0 - Joinville - SC",,65041.8,0.279631,0.0,
04.782.236/0001-88,2023-09-30,1,"R. D. Francisca, nº 0 - Dist. Indl. Joinville - SC",,410745.0,0.06453,0.0,
04.782.236/0001-88,2023-09-30,1,"Estrada da Ilha, s/n - Joinville - SC",,177948.25,0.387182,0.0,
04.782.236/0001-88,2023-09-30,1,"R. D. Francisca, 8300 - Dist. Indl. Joinville - SC",,21658.0,0.026888,0.0,
04.782.236/0001-88,2023-09-30,1,"R. D. Francisca, 8300 - Dist. Indl. Joinville - SC",,89756.04,0.096795,0.0,
