CNPJ_Fundo_Classe,Data_Referencia,Versao,Nome_Endereco_Imovel,Caracteristicas_Contratuais,CNPJ_Fundo
,2019-06-30,1,"Avenida Paulista, 1728, São Paulo/SP (SL E 2ª ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-06-30,1,"Avenida Paulista, 1728, São Paulo/SP (3º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-06-30,1,"Avenida Paulista, 1728, São Paulo/SP (10º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-06-30,1,"Avenida Paulista, 1728, São Paulo/SP (11º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-06-30,1,"Avenida Paulista, 1728, São Paulo/SP (13º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-06-30,1,"Avenida Paulista, 1728, São Paulo/SP (14º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-09-30,1,"Avenida Paulista, 1728, São Paulo/SP (1ª ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-09-30,1,"Avenida Paulista, 1728, São Paulo/SP (SL E 2ª ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-09-30,1,"Avenida Paulista, 1728, São Paulo/SP (3º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-09-30,1,"Avenida Paulista, 1728, São Paulo/SP (10º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-09-30,1,"Avenida Paulista, 1728, São Paulo/SP (11º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-09-30,1,"Avenida Paulista, 1728, São Paulo/SP (13º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-09-30,1,"Avenida Paulista, 1728, São Paulo/SP (14º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-12-31,1,"Avenida Paulista, 1728, São Paulo/SP (1ª ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-12-31,1,"Avenida Paulista, 1728, São Paulo/SP (SL E 2ª ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-12-31,1,"Avenida Paulista, 1728, São Paulo/SP (3º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-12-31,1,"Avenida Paulista, 1728, São Paulo/SP (10º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-12-31,1,"Avenida Paulista, 1728, São Paulo/SP (11º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-12-31,1,"Avenida Paulista, 1728, São Paulo/SP (13º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-12-31,1,"Avenida Paulista, 1728, São Paulo/SP (14º ANDAR)","Reajuste anual por indexador vinculado à inflação (IGP-M ou IPCA). Todos contratos típicos de locação, multa em caso de rescisão antecipada equivalente a 3 meses do valor do aluguel à época, calculados de maneira proporcional ao decurso do prazo do contrato.",06.175.262/0001-73
,2019-03-29,1,não se aplica,não se aplica,07.000.400/0001-46
,2019-06-30,1,CARJ,Não possui caracteristicas que destoem dos demais,07.000.400/0001-46
,2019-06-30,1,SEDE I,Não possui caracteristicas que destoem dos demais,07.000.400/0001-46
,2019-09-30,2,CARJ,Não possui caracteristicas que destoem dos demais,07.000.400/0001-46
,2019-09-30,2,SEDE I,Não possui caracteristicas que destoem dos demais,07.000.400/0001-46
,2019-12-31,2,CARJ,Não possui caracteristicas que destoem dos demais,07.000.400/0001-46
,2019-12-31,2,SEDE I,Não possui caracteristicas que destoem dos demais,07.000.400/0001-46
,2019-03-29,1,Edificio Torre Almirante,Não possui caracteristicas que destoem dos demais,07.122.725/0001-00
,2019-06-30,1,Edificio Torre Almirante,Não possui caracteristicas que destoem dos demais,07.122.725/0001-00
,2019-09-30,1,Edificio Torre Almirante,Não possui caracteristicas que destoem dos demais,07.122.725/0001-00
,2019-12-31,1,Edificio Torre Almirante,Não possui caracteristicas que destoem dos demais,07.122.725/0001-00
,2019-03-29,1,Parque Dom Pedro Shopping,Não possui caracteristicas que destoem dos demais,07.224.019/0001-60
,2019-06-30,1,Parque Dom Pedro Shopping,Não possui caracteristicas que destoem dos demais,07.224.019/0001-60
,2019-09-30,1,Parque Dom Pedro Shopping,Não possui caracteristicas que destoem dos demais,07.224.019/0001-60
,2019-12-31,1,Parque Dom Pedro Shopping,Não possui caracteristicas que destoem dos demais,07.224.019/0001-60
,2019-03-29,1,Rodoshopping Fernão Dias,Não possui caracteristicas que destoem dos demais,07.352.632/0001-63
,2019-06-28,2,Rodoshopping Fernão Dias,Não possui caracteristicas que destoem dos demais,07.352.632/0001-63
,2019-09-30,1,Rodoshopping Fernão Dias,Não possui caracteristicas que destoem dos demais,07.352.632/0001-63
,2019-03-31,1,Não Aplicavel,Não Aplicavel,07.583.627/0001-61
,2019-06-30,1,Não Aplicavel,Não Aplicavel,07.583.627/0001-61
,2019-09-30,1,Não Aplicavel,Não Aplicavel,07.583.627/0001-61
,2019-12-31,1,Não Aplicavel,Não Aplicavel,07.583.627/0001-61
,2019-03-31,1,BPS - BOTAFOGO PRAIA SHOPPING,,07.789.135/0001-27
,2019-03-31,1,CNB - CONJUNTO NACIONAL BRASILIA,,07.789.135/0001-27
,2019-03-31,1,CVS - CENTER VALE SHOPPING,,07.789.135/0001-27
,2019-06-30,1,BPS - BOTAFOGO PRAIA SHOPPING,,07.789.135/0001-27
,2019-06-30,1,CNB - CONJUNTO NACIONAL BRASILIA,,07.789.135/0001-27
,2019-06-30,1,CVS - CENTER VALE SHOPPING,,07.789.135/0001-27
