CNPJ_Fundo_Classe,Data_Referencia,Versao,Nome_Endereco_Imovel,Caracteristicas_Contratuais,CNPJ_Fundo
,2019-09-30,1,BPS - BOTAFOGO PRAIA SHOPPING,,07.789.135/0001-27
,2019-09-30,1,CNB - CONJUNTO NACIONAL BRASILIA,,07.789.135/0001-27
,2019-09-30,1,CVS - CENTER VALE SHOPPING,,07.789.135/0001-27
,2019-12-31,1,BPS - BOTAFOGO PRAIA SHOPPING,,07.789.135/0001-27
,2019-12-31,1,CNB - CONJUNTO NACIONAL BRASILIA,,07.789.135/0001-27
,2019-12-31,1,CVS - CENTER VALE SHOPPING,,07.789.135/0001-27
,2019-03-29,1,Hospital e Maternidade,Não possui caracteristicas que destoem dos demais,08.014.513/0001-63
,2019-06-28,1,Hospital e Maternidade,Não possui caracteristicas que destoem dos demais,08.014.513/0001-63
,2019-09-30,1,Hospital NSLourdes,Não possui caracteristicas que destoem dos demais,08.014.513/0001-63
,2019-12-31,2,Hospital NSLourdes,Não possui caracteristicas que destoem dos demais,08.014.513/0001-63
,2019-03-29,1,ABC - Shopping ABC,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,VIX - Edifício Trade Center,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,TIJ - Rua Conde de Bonfim,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,SVP - Shopping Piedade,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,SVB - Shopping Barra,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,SPC - Centro de São Paulo,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,SLZ - Rua Oswaldo Cruz,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,SIR - Boulevard Rio Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,REC - Avenida Conde de Boa Vista,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,OUV - Rua do Ouvidor,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,NOR - Norte Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,NIT - Plaza Shopping Niteroi,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,NIG - Avenida Nilo Peçanha,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,MCO - Shopping Iguatemi,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,GOI - Goiania Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,FOS - Iguatemi Fortaleza,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,Ed. Santa Catarina,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,EC - Centro Administrativo,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,DQE - Praça do Pacificador,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,COP - Av. Nossa Senhora de Copacabana,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,COP - GAR,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,CBS - Shopping Curitiba,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,CAC - Rua Treze de Maio,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,BPB - Pátio Brasil Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,BHM - Minas Shopping,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
,2019-03-29,1,BHD - Shopping Del Rey,Não possui caracteristicas que destoem dos demais,08.098.114/0001-28
