CNPJ_Fundo_Classe;Data_Referencia;Versao;Mes_Referencia;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Auferida_Ausencia_Garantia
01.235.622/0001-61;2021-03-31;1;março/2021;0.003977;0.003977
01.235.622/0001-61;2021-03-31;1;fevereiro/2021;0.007326;0.007326
01.235.622/0001-61;2021-03-31;1;janeiro/2021;0.005188;0.005188
01.235.622/0001-61;2021-06-30;1;44287;0.008352;0.008352
01.235.622/0001-61;2021-06-30;1;44317;0.011498;0.011498
01.235.622/0001-61;2021-06-30;1;44348;0.016171;0.016171
01.235.622/0001-61;2021-09-30;1;07/2021;0.007465;0.007465
01.235.622/0001-61;2021-09-30;1;08/2021;0.00855;0.00855
01.235.622/0001-61;2021-09-30;1;09/2021;0.007751;0.007751
01.235.622/0001-61;2021-12-31;1;Out/21;0.005868;0.005868
01.235.622/0001-61;2021-12-31;1;Nov/2021;0.027615;0.027615
01.235.622/0001-61;2021-12-31;1;Dez/2021;-0.032839;-0.032839
03.683.056/0001-86;2021-03-31;1;Março;0.001039;0.000708
03.683.056/0001-86;2021-03-31;1;Fevereiro;0.002626;0.002499
03.683.056/0001-86;2021-03-31;1;Janeiro;0.00395687611776066;0.00382973682198417
03.683.056/0001-86;2021-12-31;1;Dezembro;0.002105;0.002105
03.683.056/0001-86;2021-12-31;1;Novembro;0.020996;0.020996
03.683.056/0001-86;2021-12-31;1;Outubro;0.004592;0.004592
08.924.783/0001-01;2021-03-31;1;jan/21;0.002883;0.002348
08.924.783/0001-01;2021-03-31;1;fev/21;0.003115;0.002606
08.924.783/0001-01;2021-03-31;1;mar/21;0.003486;0.003028
08.924.783/0001-01;2021-06-30;1;04/2021;0.005575;0.00488281424162907
08.924.783/0001-01;2021-06-30;1;05/2021;0.007238;0.006567
08.924.783/0001-01;2021-06-30;1;06/2021;0.004559;0.00364999897407804
08.924.783/0001-01;2021-09-30;1;07/2021;0.003892;0.00313391309927688
08.924.783/0001-01;2021-09-30;1;08/2021;0.003114;0.00235522517908656
08.924.783/0001-01;2021-09-30;1;09/2021;0.001819;0.001745
08.924.783/0001-01;2021-12-31;1;12/2021;0.000364;-0.00284
08.924.783/0001-01;2021-12-31;1;11/2021;-0.003646;-0.00877
08.924.783/0001-01;2021-12-31;1;10/2021;0.002305;-0.001338
10.522.648/0001-81;2021-03-31;1;janeiro/2021;0.001599;0.001599
10.522.648/0001-81;2021-03-31;1;fevereiro/2021;0.013897;0.013897
