CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Setor_Atuacao;Percentual_Receita_Imovel;Percentual_Receitas_FII
00.332.266/0001-31;2021-03-31;1;Via Parque Shopping;Comércio;0.574163;0.56533
00.332.266/0001-31;2021-03-31;1;Via Parque Shopping;Serviço;0.425837;0.419285
00.332.266/0001-31;2021-06-30;1;Via Parque Shopping;Comércio;0.675429;0.66844
00.332.266/0001-31;2021-06-30;1;Via Parque Shopping;Serviço;0.324571;0.321212
00.332.266/0001-31;2021-09-30;1;Via Parque Shopping;Serviço;0.389077;0.381146
00.332.266/0001-31;2021-09-30;1;Via Parque Shopping;Comércio;0.610923;0.598469
00.332.266/0001-31;2021-12-31;1;Via Parque Shopping;Comércio;0.66212;0.650733
00.332.266/0001-31;2021-12-31;1;Via Parque Shopping;Serviço;0.33788;0.332072
00.762.723/0001-28;2021-03-31;1;CTI;Serviço;0;0.995436
00.762.723/0001-28;2021-06-30;1;CTI;Serviço;0;0.988752
00.762.723/0001-28;2021-09-30;1;CTI;Serviço;0;0.945767
00.762.723/0001-28;2021-12-31;1;CTI;Serviço;0.649994;0.349311
00.762.723/0001-28;2021-12-31;1;CTI;Comércio;0.350006;0.188096
00.868.235/0001-08;2021-03-31;1;Hotel;Serviço;1;0.080716
00.868.235/0001-08;2021-03-31;1;Medcenter;Serviço;0.771187;0.687734
00.868.235/0001-08;2021-03-31;1;Medcenter;Comércio;0.228813;0.228001
00.868.235/0001-08;2021-06-30;1;Medcenter;Comércio;0.315555;0.314304
00.868.235/0001-08;2021-06-30;1;Medcenter;Serviço;0.684445;0.625572
00.868.235/0001-08;2021-06-30;1;Hotel;Serviço;1;0.056157
00.868.235/0001-08;2021-09-30;1;Medcenter;Serviço;0.933574;0.928202
00.868.235/0001-08;2021-09-30;1;Hotel;Serviço;1;0.05278
00.868.235/0001-08;2021-09-30;1;Medcenter;Comércio;0.066426;0.066044
00.868.235/0001-08;2021-12-31;1;Medcenter;Comércio;0.066433;0.065891
00.868.235/0001-08;2021-12-31;1;Medcenter;Serviço;0.933567;0.925956
00.868.235/0001-08;2021-12-31;1;Hotel;Serviço;1;0.05426
01.201.140/0001-90;2021-03-31;1;Grand Plaza Shopping;Serviço;0.158595;0.157559
01.201.140/0001-90;2021-03-31;1;Grand Plaza Shopping;Comércio;0.841405;0.835907
01.201.140/0001-90;2021-06-30;1;Grand Plaza Shopping;Comércio;0.825867;0.816665
01.201.140/0001-90;2021-06-30;1;Grand Plaza Shopping;Serviço;0.174133;0.172194
01.201.140/0001-90;2021-09-30;1;Grand Plaza Shopping;Serviço;0.18344;0.179292
01.201.140/0001-90;2021-09-30;1;Grand Plaza Shopping;Comércio;0.81656;0.798095
01.201.140/0001-90;2021-12-31;1;Grand Plaza Shopping;Serviço;0.183378;0.181111
01.201.140/0001-90;2021-12-31;1;Grand Plaza Shopping;Comércio;0.816662;0.806525
01.235.622/0001-61;2021-03-31;1;Carioca;Logistica;0;0
01.235.622/0001-61;2021-03-31;1;Carioca;Governo;0;0
01.235.622/0001-61;2021-03-31;1;Carioca;Comercio;1;0.002616
01.235.622/0001-61;2021-03-31;1;CESBOM;Ensino;1;0.07851
01.235.622/0001-61;2021-03-31;1;Cardeal Leme;Ti;0.431693;0.027928
01.235.622/0001-61;2021-03-31;1;Cardeal Leme;Telecomunicação;0.064805;0.004193
01.235.622/0001-61;2021-03-31;1;Cardeal Leme;Logistica;0.175565;0.011358
01.235.622/0001-61;2021-03-31;1;Cardeal Leme;Financeiro;0.045175;0.002923
01.235.622/0001-61;2021-03-31;1;Cardeal Leme;Contabilidade;0.091208;0.005901
01.235.622/0001-61;2021-03-31;1;Cardeal Leme;Consultoria;0.124076;0.008027
01.235.622/0001-61;2021-03-31;1;Cardeal Leme;Advocacia;0.067477;0.004365
01.235.622/0001-61;2021-03-31;1;Barão de Mesquita;Ensino;1;0.06889
01.235.622/0001-61;2021-03-31;1;Av. Mem de Sá;Disponível;0;0
01.235.622/0001-61;2021-03-31;1;AV. Brasil, 20384;Disponível;0;0
01.235.622/0001-61;2021-03-31;1;Citta America;Academia;0.99915;0.17722
01.235.622/0001-61;2021-03-31;1;Citta America;Ensino;0.00085;0.000151
01.235.622/0001-61;2021-03-31;1;Citta Office;Midia;1;0.070641
01.235.622/0001-61;2021-03-31;1;Conde de Bonfim,149;Disponível;0;0
01.235.622/0001-61;2021-03-31;1;Dom Gerado 46;Comercio;0.588108;0.016432
