CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
21.126.204/0001-43;2021-12-31;1;Loja 64;Contratos típicos de 5 anos, ajustados anualmente com garantia de Fiadores.
21.126.204/0001-43;2021-12-31;1;Loja 65;Contratos típicos de 5 anos, ajustados anualmente com garantia de Fiadores.
21.126.204/0001-43;2021-12-31;1;Loja 66;Contratos típicos de 5 anos, ajustados anualmente com garantia de Fiadores.
21.126.204/0001-43;2021-12-31;1;Loja 67;Contratos típicos de 5 anos, ajustados anualmente com garantia de Fiadores.
21.126.204/0001-43;2021-12-31;1;Loja 68;Contratos típicos de 5 anos, ajustados anualmente com garantia de Fiadores.
21.126.204/0001-43;2021-12-31;1;Loja 69;Contratos típicos de 5 anos, ajustados anualmente com garantia de Fiadores.
21.126.204/0001-43;2021-12-31;1;Loja 70;Contratos típicos de 5 anos, ajustados anualmente com garantia de Fiadores.
21.408.063/0001-51;2021-03-31;1;24° Andar do Edifício Castello Branco;Conforme itens acima
21.408.063/0001-51;2021-03-31;1;Edificio Mykonos;Conforme itens acima
21.408.063/0001-51;2021-03-31;1;Somos Sistema de Ensino S.A.;Conforme itens acima
21.408.063/0001-51;2021-03-31;1;Edíficio Celebration;Conforme itens acima
21.408.063/0001-51;2021-03-31;1;Condomínio Comary;Conforme itens acima
21.408.063/0001-51;2021-03-31;1;Edifício Delta Plaza;Conforme itens acima
21.408.063/0001-51;2021-03-31;1;Edifício Cerp - Venezuela;Conforme itens acima
21.408.063/0001-51;2021-03-31;1;Anima Consolação;Conforme itens acima
21.408.063/0001-51;2021-06-30;1;24° Andar do Edifício Castello Branco;Conforme itens acima
21.408.063/0001-51;2021-06-30;1;Edificio Mykonos;Conforme itens acima
21.408.063/0001-51;2021-06-30;1;Somos Sistema de Ensino S.A.;Conforme itens acima
21.408.063/0001-51;2021-06-30;1;Edíficio Celebration;Conforme itens acima
21.408.063/0001-51;2021-06-30;1;Condomínio Comary;Conforme itens acima
21.408.063/0001-51;2021-06-30;1;Edifício Delta Plaza;Conforme itens acima
21.408.063/0001-51;2021-06-30;1;Edifício Cerp - Venezuela;Conforme itens acima
21.408.063/0001-51;2021-06-30;1;Anima Consolação;Conforme itens acima
21.408.063/0001-51;2021-06-30;1;Edifício River One;Conforme itens acima
21.408.063/0001-51;2021-09-30;1;24° Andar do Edifício Castello Branco;Conforme itens acima
21.408.063/0001-51;2021-09-30;1;Edificio Mykonos;Conforme itens acima
21.408.063/0001-51;2021-09-30;1;Somos Sistema de Ensino S.A.;Conforme itens acima
21.408.063/0001-51;2021-09-30;1;Edíficio Celebration;Conforme itens acima
