CNPJ_Fundo_Classe;Data_Referencia;Versao;Receita_Venda_Estoque_Contabil;Receita_Venda_Estoque_Financeiro;Custo_Estoque_Contabil;Custo_Estoque_Financeiro;Ajuste_Realizacao_Estoque_Contabil;Ajuste_Realizacao_Estoque_Financeiro;Outras_Receitas_Despesas_Estoque_Contabil;Outras_Receitas_Despesas_Estoque_Financeiro;Resultado_Liquido_Estoque_Contabil;Resultado_Liquido_Estoque_Financeiro;Receita_Aluguel_Investimento_Contabil;Receita_Aluguel_Investimento_Financeiro;Despesa_Manutencao_Investimento_Contabil;Despesa_Manutencao_Investimento_Financeiro;Receita_Venda_Investimento_Contabil;Receita_Venda_Investimento_Financeiro;Custo_Investimento_Contabil;Custo_Investimento_Financeiro;Ajuste_Justo_Investimento_Contabil;Ajuste_Justo_Investimento_Financeiro;Outras_Receitas_Despesas_Investimento_Contabil;Outras_Receitas_Despesas_Investimento_Financeiro;Resultado_Liquido_Renda_Contabil;Resultado_Liquido_Renda_Investimento_Financeiro;Receita_Juros_TVM_Contabil;Receita_Juros_TVM_Financeiro;Ajuste_Justo_TVM_Contabil;Ajuste_Justo_TVM_Financeiro;Resultado_Venda_TVM_Contabil;Resultado_Venda_TVM_Financeiro;Outras_Receitas_Despesas_TVM_Contabil;Outras_Receitas_Despesas_TVM_Financeiro;Resultado_Liquido_TVM_Contabil;Resultado_Liquido_TVM_Financeiro;Resultado_Liquido_Total_Contabil;Resultado_Liquido_Total_Financeiro;Receita_Juros_Aplicacao_Contabil;Receita_Juros_Aplicacao_Financeiro;Ajuste_Justo_Aplicacao_Contabil;Ajuste_Justo_Aplicacao_Financeiro;Resultado_Venda_Aplicacao_Contabil;Resultado_Venda_Aplicacao_Financeiro;Outras_Receitas_Despesas_Aplicacao_Contabil;Outras_Receitas_Despesas_Aplicacao_Financeiro;Resultado_Liquido_Recurso_Liquidez_Contabil;Resultado_Liquido_Recurso_Liquidez_Financeiro;Resultado_Liquido_Derivativos_Contabil;Resultado_Liquido_Derivativos_Financeiro;Taxa_Administracao_Contabil;Taxa_Administracao_Financeiro;Taxa_Desempenho_Contabil;Taxa_Desempenho_Financeiro;Despesa_Consultoria_Especializada_Contabil;Despesa_Consultoria_Especializada_Financeiro;Despesa_Empresa_Especializada_Contabil;Despesa_Empresa_Especializada_Financeiro;Despesa_Formador_Mercado_Contabil;Despesa_Formador_Mercado_Financeiro;Despesa_Custodia_Contabil;Despesa_Custodia_Financeiro;Despesa_Auditoria_Independente_Contabil;Despesa_Auditoria_Independente_Financeiro;Despesa_Representantes_Cotistas_Contabil;Despesa_Representantes_Cotistas_Financeiro;Taxa_Imposto_Contribuicao_Contabil;Taxa_Imposto_Contribuicao_Financeiro;Despesa_Comissoes_Emolumentos_Contabil;Despesa_Comissoes_Emolumentos_Financeiro;Despesa_Honorarios_Defesas_Contabil;Despesa_Honorarios_Defesas_Financeiro;Despesa_Contratos_Seguros_Contabil;Despesa_Contratos_Seguros_Financeiro;Despesa_Avaliacoes_Contabil;Despesa_Avaliacoes_Financeiro;Taxa_Ingresso_Saida_Cotista_Contabil;Taxa_Ingresso_Saida_Cotista_Financeiro;Despesa_Registro_Cartorio_Contabil;Despesa_Registro_Cartorio_Financeiro;Outras_Receitas_Depesas_Contabil;Outras_Receitas_Depesas_Financeiro;Total_Receitas_Despesas_Contabil;Total_Receitas_Despesas_Financeiro;Resultado_Trimestral_Liquido_Contabil;Resultado_Trimestral_Liquido_Financeiro;Resultado_Financeiro_Liquido_Acumulado;Resultado_Financeiro_Liquido_Acumulado_95;Parcela_Rendimento_Retido;Lucro_Contabil;Rendimentos_Declarados;Rendimentos_Pagos_Antecipadamente;Rendimento_Liquido_Pagar;Percentual_Resultado_Financeiro_Liquido_Declarado
00.332.266/0001-31;2021-03-31;1;0;0;0;0;0;0;0;0;0;0;9141633.4;10289795.63;-109670.07;-109670.07;0;0;0;0;0;0;-3764053.2;-3764053.2;5267910.13;6416072.36;0;0;0;0;0;0;0;0;0;0;5267910.13;6416072.36;28733.27;28733.27;0;0;0;0;0;0;28733.27;28733.27;;;-217897.45;-216966.13;0;0;-36000;0;0;0;0;0;0;0;0;0;0;0;-15784.44;-15784.44;0;0;-21159.13;-21159.13;0;0;0;-5609.77;0;0;0;0;-33049.74;-38068.75;-323890.76;-297588.22;4972752.64;6147217.41;6147217.41;5839856.5395;;;3920208.5995;-3920208.6;-0.0005;0.637721
00.332.266/0001-31;2021-06-30;1;0;0;0;0;0;0;0;0;0;0;8205602.45;8117562.98;-585921.27;-585921.27;0;0;0;0;0;0;-6706038.19;-6706038.19;913642.99;825603.52;0;0;0;0;0;0;0;0;0;0;913642.99;825603.52;35012.39;35012.39;0;0;0;0;0;0;35012.39;35012.39;;;-214565.71;-214532.29;0;0;-36000;0;0;0;0;0;0;0;0;0;0;0;-16398.64;-16398.64;0;0;-16672.95;-16672.95;0;0;0;0;0;0;-998.9;-998.9;-144160.71;-139141.7;-428796.91;-387744.48;519858.47;472871.43;6620088.84;6289084.398;;;6328336.738;-5124272.67;1204064.068;0.955929
00.332.266/0001-31;2021-09-30;1;0;0;0;0;0;0;0;0;0;0;9734777.62;10302930.4;-146956.51;-146956.51;0;0;0;0;0;0;-5057635.02;-6289099.62;4530186.09;3866874.27;0;0;0;0;0;0;0;0;0;0;4530186.09;3866874.27;165360.8;165360.8;0;0;0;0;0;0;165360.8;165360.8;;;-284848.14;-260686.6;0;0;-36000;0;0;0;0;0;0;0;0;0;0;0;-19615.37;-19615.37;0;0;-26663.76;-26663.76;0;0;0;0;0;0;-16277.35;-16277.35;-20147.63;-20147.63;-403552.25;-343390.71;4291994.64;3688844.36;3688844.36;3504402.142;;;3504402.142;-2070209.89;1434192.252;0.95
00.332.266/0001-31;2021-12-31;1;0;0;0;0;0;0;0;0;0;0;14005818.14;11301835.11;-1313195.21;-1313195.21;0;0;0;0;5021494.51;0;-5105923.23;-5105923.23;12608194.21;4882716.67;0;0;0;0;0;0;0;0;0;0;12608194.21;4882716.67;206797.73;206797.73;0;0;0;0;0;0;206797.73;206797.73;;;-286079.56;-286728.88;0;0;-36000;0;0;0;0;0;0;0;-66300;0;0;0;-48833.83;-48833.83;0;0;-369050.29;-369050.29;0;0;-8800;-8800;0;0;0;0;-12065.97;-12065.97;-827129.65;-725478.97;11987862.29;4364035.43;8052879.79;7650235.8005;;;8148433.5905;-6048321.84;2100111.7505;1.011866
00.613.094/0001-74;2021-03-31;1;;;;;;;-161789.47;-161789.47;-161789.47;-161789.47;0;;-167790.12;-167790.12;0;21499.33;-497677.22;-290970.88;0;0;61628.35;0;-603838.99;-437261.67;;;;;;;;;0;0;-765628.46;-599051.14;;;;;;;;;0;0;;;;;;;;;;;;;-19968.12;-19968.12;0;-15697.86;0;;-29761.67;-29761.67;0;;-30074.43;-30074.43;0;;0;;0;;0;;-120229.42;-25849.51;-200033.64;-121351.59;-965662.1;-720402.73;-720402.73;0;;;0;0;0;0
00.613.094/0001-74;2021-06-30;1;;;;;;;-159563.68;-159563.68;-159563.68;-159563.68;0;;-104130;-104130;0;227023.6;-618543.28;-308483.77;0;0;52495.92;0;-670177.36;-185590.17;;;;;;;;;0;0;-829741.04;-345153.85;;;;;;;;;0;0;;;;;;;;;;;;;-19767.96;-19767.96;0;-5232.63;0;;-14998.91;-14998.91;0;;-60812.24;-60930.21;;;;;;;;;-118959.23;5906.15;-214538.34;-95023.56;-1044279.38;-440177.41;-1160580.14;0;;;0;0;0;0
00.613.094/0001-74;2021-09-30;1;;;;;;;-193799.28;-193799.28;-193799.28;-193799.28;;;-104130;-104130;0;79915.46;-671252.49;-359672.79;0;0;24637.34;0;-750745.15;-383887.33;;;;;;;;;0;0;-944544.43;-577686.61;;;;;;;;;0;0;;;;;;;;;;;;;-19768.78;-19768.78;;;;;-12664.71;-12664.71;;;-87966.11;-87966.11;;;;;;;;;-39169.03;-10807.21;-159568.63;-131206.81;-1104113.06;-708893.42;-708893.42;0;;;0;0;0;0
00.613.094/0001-74;2021-12-31;1;;;;;;;-128541.26;-76187.8;-128541.26;-76187.8;0;0;-104130;-104130;0;0;-446488.2;-292135.32;0;0;8350.01;0;-542268.19;-396265.32;;;;;;;;;0;0;-670809.45;-472453.12;;;;;;;;;0;0;;;0;;0;;0;;0;;0;;-26237.55;-26237.55;-48140.12;0;0;;-3908.3;-3908.3;0;;-128436.61;-107095.57;0;;0;;0;;0;;-27783.95;2020.48;-234506.53;-135220.94;-905315.98;-607674.06;-1396482.94;0;;;0;0;0;0
00.762.723/0001-28;2021-03-31;1;0;0;0;0;0;0;0;0;0;0;1862083.21;2128326.18;-89.24;-89.24;0;0;0;0;0;0;-1348165.23;-1348165.23;513828.74;780071.71;0;0;0;0;0;0;0;0;0;0;513828.74;780071.71;8878.53;8878.53;0;0;0;0;0;0;8878.53;8878.53;;;-109820.91;-109600.02;0;0;0;0;0;0;0;0;0;0;0;-16734.1;0;0;-6482.99;-6482.99;0;0;-4432.05;-4432.05;0;0;0;0;0;0;0;0;-13425.44;-13425.44;-134161.39;-150674.6;388545.88;638275.64;638275.64;606361.858;;0;512858.248;-383128.45;129729.798;0.803506
00.762.723/0001-28;2021-06-30;1;0;0;0;0;0;0;0;0;0;0;1442982.73;1443667.62;0;0;0;0;0;0;0;0;-1137210.92;-1137210.92;305771.81;306456.7;0;0;0;0;0;0;0;0;0;0;305771.81;306456.7;15476.71;15476.71;0;0;0;0;0;0;15476.71;15476.71;;;-103075.13;-104122.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6607.28;-6607.28;0;0;-3699.92;-3699.92;0;0;0;0;0;0;-277.55;-277.55;226265.7;226265.7;112605.82;111558.71;433854.34;433492.12;1071767.76;1018179.372;;0;1031714.062;-772286.15;259427.912;0.962628
