CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Categoria
03.683.056/0001-86;2021-03-31;1;EDIFÍCIO GIRASSOL;Rua Girassol, 555 - Vila Madalena;1946.23;1;n/a;0.04803;Renda
03.683.056/0001-86;2021-12-31;1;JK FINANCIAL CENTER;Av. Juscelino Kubitschek, 510, Itaim Bibi, São Paulo/SP;4863.7;5;n/a;0.164977;Renda
08.431.747/0001-06;2021-03-31;1;Shopping Praça da Moça - 23,06%;Rua Manoel da Nobrega, 712, Centro, Diadema - SP;29784.27;139;-;0.04;Renda
09.072.017/0001-29;2021-03-31;1;One Berrini Corporate;Avenida Engenheiro Luiz Carlos Berrini, nº 105;2136.68;2;-;0.017986;Renda
09.517.273/0001-82;2021-03-31;1;Loja Habitarte;Rua Nova York, 245, CEP 04560-000, Brooklin, São Paulo, SP;3416;1;locatário St. Marché;0.94;Renda
09.517.273/0001-82;2021-09-30;2;SANT ANTONIO;Rua Gelba, 500, Santo Antônio da Patrula - RS.;11817.63;1;Matrícula 20.788. O fundo já possuia 50% do imóvel no trimestre anterior, porém adquiriu 100% do mesmo no trimestre vigente;0;Renda
10.427.246/0001-06;2021-12-31;1;Edificio Torre Almirante;Avenida Almirante Barroso, 81, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 20031-004;25087;25;Direito de Propriedade;0.6213;Renda
11.728.688/0001-47;2021-09-30;1;HGLG São Carlos;Rodovia Eng. Thales de Lorena Peixoto Júnio, Km 9.5, São Carlos, SP;79642;1;-;0.061922;Renda
11.728.688/0001-47;2021-09-30;1;HGLG Washington Luiz;Avenida SN 1, 280, Parque Duque, Duque de Caxias - RJ;48042;1;-;0.03732;Renda
11.728.688/0001-47;2021-09-30;1;HGLG Ribeirão Preto;Rodovia Anhanguera, 317.5, Ribeirão Preto - SP;59875.11;1;-;0.057405;Renda
11.839.593/0001-09;2021-09-30;1;Imóvel - Ribeirão Preto;Rodovia Anhanguera KM 308, Ribeirão Preto, SP, 14093-500;57163.95;15;Direito de Propriedade;0.1562;Renda
