CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
00.332.266/0001-31;2021-03-31;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57000;212;Shopping Center;0.053193;0.4189;0.984615;;;;;;;
00.332.266/0001-31;2021-06-30;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;57000;212;Shopping Center;0.057018;0.2484;0.989652;;;;;;;
00.332.266/0001-31;2021-09-30;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;56510;212;Shopping Center;0.055211;0.2178;0.979613;;;;;;;
00.332.266/0001-31;2021-12-31;1;Imóveis para renda acabados;Via Parque Shopping;Av. Ayrton Senna, 3000, Barra da Tijuca, Rio de Janeiro - RJ;56510;214;Shopping Center;0.055088;0.19;0.982805;;;;;;;
00.762.723/0001-28;2021-03-31;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45450;1;Imóvel Comercial;0.583251;0;0.995436;;;;;;;
00.762.723/0001-28;2021-06-30;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45714.2;1;Imóvel Comercial;0.962481853804425;0;0.988751892866999;;;;;;;
00.762.723/0001-28;2021-09-30;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45714.2;1;Imóvel Comercial;0.968800986716439;0;0.945766943723513;;;;;;;
00.762.723/0001-28;2021-12-31;1;Imóveis para renda acabados;CTI;Av. Roberto Zuccolo nº 555  Vila Leopoldina;45714.2;1;Imóvel Comercial;0.973889998581049;0;0.537406;;;;;;;
00.868.235/0001-08;2021-03-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.080716;;;;;;;
00.868.235/0001-08;2021-03-31;1;Imóveis para renda acabados;Medcenter;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.0835035884959186;0.915736;;;;;;;
00.868.235/0001-08;2021-06-30;1;Imóveis para renda acabados;Medcenter;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.188;0.0835035884959186;0.943842945265283;;;;;;;
00.868.235/0001-08;2021-06-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.056157;;;;;;;
00.868.235/0001-08;2021-09-30;1;Imóveis para renda acabados;Medcenter;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.287;0.122661598066212;0.94722011585803;;;;;;;
00.868.235/0001-08;2021-09-30;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.0527798841419703;;;;;;;
00.868.235/0001-08;2021-12-31;1;Imóveis para renda acabados;Hotel;Avenida Soledade, 569 - Porto Alegre/RS;3388;1;Hotel com operação da Accor com a marca Novotel;0;0;0.062413;;;;;;;
00.868.235/0001-08;2021-12-31;1;Imóveis para renda acabados;Medcenter;Avenida Soledade, 569 - Porto Alegre/RS;10061;1;Duas torres de conjutos comerciais, mall e estacionamento;0.301222;0.102471;0.937587;;;;;;;
01.201.140/0001-90;2021-03-31;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.12;0.209;0.993466;;;;;;;
01.201.140/0001-90;2021-06-30;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.119;0.091;0.988859;;;;;;;
01.201.140/0001-90;2021-09-30;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.082;0.038;0.977387;;;;;;;
01.201.140/0001-90;2021-12-31;1;Imóveis para renda acabados;Grand Plaza Shopping;Avenida Industrial, 600, Centro, Santo André - SP;69628;296;Shopping Center;0.075;0.045;0.987636;;;;;;;
01.235.622/0001-61;2021-03-31;1;Imóveis para renda acabados;Citta America;Avenida das Americas Nº700, barra da tijuca, Rio de Janeiro;27969.29;11;Lojas;0.5;0.2;0.005269;;;;;;;
01.235.622/0001-61;2021-03-31;1;Imóveis para renda acabados;Barão de Mesquita;Barão de Mesquita nº164, Rio de Janeiro;2420;1;Colégio São José;0;0;0.002047;;;;;;;
