CNPJ_Fundo_Classe;Data_Referencia;Versao;Tipo;Emissor;CNPJ_Emissor;Emissao;Serie;Codigo_Acao;Nome_Ativo;Data_Vencimento;Quantidade;Valor
00.332.266/0001-31;2021-03-31;1;Outros Ativos Financeiros;Itaú CDB DI;6175696000173;;;;CDB DI;;2;1914120.33
00.332.266/0001-31;2021-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;80833.12665;3962250.47
00.332.266/0001-31;2021-06-30;1;Outros Ativos Financeiros;Itaú CDB DI;6175696000173;;;;CDB DI;;2;1744860.2
00.332.266/0001-31;2021-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;79776.26343;3939345.17
00.332.266/0001-31;2021-09-30;1;Outros Ativos Financeiros;Itaú CDB DI;6175696000173;;;;CDB DI;;2;868583.9
00.332.266/0001-31;2021-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;406900.64833;20344503.79
00.332.266/0001-31;2021-12-31;1;Outros Ativos Financeiros;Itaú CDB DI;6175696000173;;;;CDB DI;;2;1719883.4
00.332.266/0001-31;2021-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;123343.44387;6281692.47
00.762.723/0001-28;2021-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;17783.4;871700.77
00.762.723/0001-28;2021-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;18570.57514;917013.41
00.762.723/0001-28;2021-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;13642.08;682086.38
00.762.723/0001-28;2021-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;89913.89828;4579176.97
00.868.235/0001-08;2021-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;10890.42;533823.19
00.868.235/0001-08;2021-03-31;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.37;755.9
00.868.235/0001-08;2021-06-30;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.37;759.39
00.868.235/0001-08;2021-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;9760.14;481954.86
00.868.235/0001-08;2021-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;24511.06;1225521.16
00.868.235/0001-08;2021-09-30;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.37;765.67
00.868.235/0001-08;2021-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;16215.03;825806.91
00.868.235/0001-08;2021-12-31;1;Outras Cotas de FI;BRA FIC FI RENDA FIXA SATURNO;1197545000100;;;;;;0.37;770.48
01.201.140/0001-90;2021-03-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;178886.2;8768582.51
01.201.140/0001-90;2021-03-31;1;Outras Cotas de FI;Itaú TOP RF Referenciado DI FICFI;5902521000158;;;;;;495.21;2430.01
01.201.140/0001-90;2021-06-30;1;Outras Cotas de FI;Itaú TOP RF Referenciado DI FICFI;5902521000158;;;;;;494.4;2449.3
01.201.140/0001-90;2021-06-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;300212.43;14824464.44
01.201.140/0001-90;2021-09-30;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;289027.65;14451007.2
01.201.140/0001-90;2021-12-31;1;Outras Cotas de FI;Itaú Soberano RF Simples LP FICFI;6175696000173;;;;;;346054.14;17624007.19
01.235.622/0001-61;2021-03-31;1;CRI;RB CAPITAL SECURATIZADORA RESIDENCIAL;2773542000122;43444;200;;;;960;122268157.22
01.235.622/0001-61;2021-03-31;1;Outros Ativos Financeiros;ARETÊ - BÚZIOS - BR MARINAS;26700017000145;;;;SPE;;0;1200000
01.235.622/0001-61;2021-03-31;1;FII;Dovel Fundo de Investimento Imobiliário;10522648000181;;;;;;51972;48772062.43
01.235.622/0001-61;2021-03-31;1;FII;General Severiano FII;17007528000195;;;;;;8000;10822508.4
01.235.622/0001-61;2021-03-31;1;Cotas de Sociedades;4 De Janeiro Adm. E Partic. Ltda;31894926000100;;;;;;60813174;39507681.89
01.235.622/0001-61;2021-03-31;1;Cotas de Sociedades;Taquari - Brasília;01.235.622/0001-61;;;;;;82945;127990391.54
01.235.622/0001-61;2021-03-31;1;Cotas de Sociedades;Brasilia Plaza S/A;3772684000138;;;;;;33370561;1174819.48
01.235.622/0001-61;2021-03-31;1;Cotas de Sociedades;XX de Novembro Invest. E Part. S/A;3538833000107;;;;;;315912258;85253630.6
01.235.622/0001-61;2021-03-31;1;Cotas de Sociedades;19 de Fevereiro Empr. E Partic. Ltda;35795251000194;;;;;;25776422;720921.11
01.235.622/0001-61;2021-03-31;1;FII;BRIX Fundo de investimento Imobiliário;35360651000177;;;;;;8682.05;8337774.39
01.235.622/0001-61;2021-06-30;1;CRI;RB SEC COMPANHIA DE SECURITIZACAO - - CRI_18L1368427;2773542000122;1;201;;;;34;3439245.01
